Frequency,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily
1946-01-03,,,,,1.5,,,,,4,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-04,,,,,1.5,,,,,4,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-05,,,,,,,,,,4,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-01-06,,,,,,,,,,4,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-01-07,,,,,1.5,,,,,4,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-08,,,,,1.5,,,,,4,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-09,,,,,1.5,,,,,4,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-10,,,,,1.5,,,,,4,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-11,,,,,1.5,,,,,4,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-12,,,,,,,,,,4,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-01-13,,,,,,,,,,4,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-01-14,,,,,1.5,,,,,4,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-15,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-16,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-17,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-18,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-19,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-01-20,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-01-21,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-22,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-23,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-24,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-25,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-26,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-01-27,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-01-28,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-29,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-30,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-01-31,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-01,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-02,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-02-03,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-02-04,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-05,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-06,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-07,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-08,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-09,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-02-10,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-02-11,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-12,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-13,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-14,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-15,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-16,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-02-17,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-02-18,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-19,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-20,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-21,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-22,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-23,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-02-24,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-02-25,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-26,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-27,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-02-28,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-01,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-02,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-03-03,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-03-04,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-05,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-06,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-07,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-08,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-09,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-03-10,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-03-11,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-12,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-13,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-14,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-15,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-16,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-03-17,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-03-18,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-19,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-20,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-21,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-22,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-23,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-03-24,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-03-25,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-26,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-27,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-28,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-29,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-03-30,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-03-31,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-04-01,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-02,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-03,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-04,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-05,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-06,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-04-07,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-04-08,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-09,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-10,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-11,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-12,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-13,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-04-14,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-04-15,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-16,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-17,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-18,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-19,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-20,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-04-21,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-04-22,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-23,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-24,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-25,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-26,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
