year,month,ISO3,InterestRate,CPI,name,text_InterestRate,text_CPI
2007,6,ARG,10.25,8.7704112253,Argentina,Argentina<br> 10.25%,Argentina<br> 8.77%
2007,7,ARG,10.31,8.6399318303,Argentina,Argentina<br> 10.31%,Argentina<br> 8.64%
2007,8,ARG,10.5,8.6664716589,Argentina,Argentina<br> 10.50%,Argentina<br> 8.67%
2007,9,ARG,10.37,8.5610386861,Argentina,Argentina<br> 10.37%,Argentina<br> 8.56%
2007,10,ARG,10.7,8.3746629375,Argentina,Argentina<br> 10.70%,Argentina<br> 8.37%
2007,11,ARG,10.65,8.5313559015,Argentina,Argentina<br> 10.65%,Argentina<br> 8.53%
2007,12,ARG,10.75,8.4736960762,Argentina,Argentina<br> 10.75%,Argentina<br> 8.47%
2008,1,ARG,11.0,8.2448675425,Argentina,Argentina<br> 11.00%,Argentina<br> 8.24%
2008,2,ARG,11.3,8.4229333221,Argentina,Argentina<br> 11.30%,Argentina<br> 8.42%
2008,3,ARG,11.07,8.8157425542,Argentina,Argentina<br> 11.07%,Argentina<br> 8.82%
2008,4,ARG,11.52,8.9089717033,Argentina,Argentina<br> 11.52%,Argentina<br> 8.91%
2008,5,ARG,11.8,9.0635781226,Argentina,Argentina<br> 11.80%,Argentina<br> 9.06%
2008,6,ARG,11.84,9.2748662409,Argentina,Argentina<br> 11.84%,Argentina<br> 9.27%
2008,7,ARG,12.2,9.132676195,Argentina,Argentina<br> 12.20%,Argentina<br> 9.13%
2008,8,ARG,12.2,9.0084450835,Argentina,Argentina<br> 12.20%,Argentina<br> 9.01%
2008,9,ARG,12.26,8.6927725717,Argentina,Argentina<br> 12.26%,Argentina<br> 8.69%
2008,10,ARG,12.48,8.4187969418,Argentina,Argentina<br> 12.48%,Argentina<br> 8.42%
2008,11,ARG,12.5,7.8667820196,Argentina,Argentina<br> 12.50%,Argentina<br> 7.87%
2008,12,ARG,12.05,7.2373584309,Argentina,Argentina<br> 12.05%,Argentina<br> 7.24%
2009,1,ARG,12.5,6.8117322843,Argentina,Argentina<br> 12.50%,Argentina<br> 6.81%
2009,2,ARG,13.4,6.774266902,Argentina,Argentina<br> 13.40%,Argentina<br> 6.77%
2009,3,ARG,14.0,6.2552242824,Argentina,Argentina<br> 14.00%,Argentina<br> 6.26%
2009,4,ARG,14.35,5.73,Argentina,Argentina<br> 14.35%,Argentina<br> 5.73%
2009,5,ARG,14.55,5.4892601432,Argentina,Argentina<br> 14.55%,Argentina<br> 5.49%
2009,6,ARG,16.25,5.266798419,Argentina,Argentina<br> 16.25%,Argentina<br> 5.27%
2009,7,ARG,14.59,5.5331298612,Argentina,Argentina<br> 14.59%,Argentina<br> 5.53%
2009,8,ARG,15.89,5.9088682019,Argentina,Argentina<br> 15.89%,Argentina<br> 5.91%
2009,9,ARG,9.75,6.151896266,Argentina,Argentina<br> 9.75%,Argentina<br> 6.15%
2009,10,ARG,9.5,6.5430540724,Argentina,Argentina<br> 9.50%,Argentina<br> 6.54%
2009,11,ARG,9.5,7.0626934985,Argentina,Argentina<br> 9.50%,Argentina<br> 7.06%
2009,12,ARG,9.5,7.6945328319,Argentina,Argentina<br> 9.50%,Argentina<br> 7.69%
2010,1,ARG,9.5,8.23901784,Argentina,Argentina<br> 9.50%,Argentina<br> 8.24%
2010,2,ARG,9.5,9.1204278483,Argentina,Argentina<br> 9.50%,Argentina<br> 9.12%
2010,3,ARG,9.5,9.6602770924,Argentina,Argentina<br> 9.50%,Argentina<br> 9.66%
2010,4,ARG,9.5,10.2052397617,Argentina,Argentina<br> 9.50%,Argentina<br> 10.21%
2010,5,ARG,9.5,10.6617647059,Argentina,Argentina<br> 9.50%,Argentina<br> 10.66%
2010,6,ARG,9.5,11.0015957946,Argentina,Argentina<br> 9.50%,Argentina<br> 11.00%
2010,7,ARG,9.5,11.2044033958,Argentina,Argentina<br> 9.50%,Argentina<br> 11.20%
2010,8,ARG,9.5,11.1028867506,Argentina,Argentina<br> 9.50%,Argentina<br> 11.10%
2010,9,ARG,9.5,11.0855988244,Argentina,Argentina<br> 9.50%,Argentina<br> 11.09%
2010,10,ARG,9.5,11.1343963554,Argentina,Argentina<br> 9.50%,Argentina<br> 11.13%
2010,11,ARG,9.5,11.0247605277,Argentina,Argentina<br> 9.50%,Argentina<br> 11.02%
2010,12,ARG,9.5,10.9230906975,Argentina,Argentina<br> 9.50%,Argentina<br> 10.92%
2011,1,ARG,9.5,10.5804164821,Argentina,Argentina<br> 9.50%,Argentina<br> 10.58%
2011,2,ARG,9.5,10.0210047261,Argentina,Argentina<br> 9.50%,Argentina<br> 10.02%
2011,3,ARG,9.5,9.7005884389,Argentina,Argentina<br> 9.50%,Argentina<br> 9.70%
2011,4,ARG,9.5,9.7064881565,Argentina,Argentina<br> 9.50%,Argentina<br> 9.71%
2011,5,ARG,9.5,9.6941817872,Argentina,Argentina<br> 9.50%,Argentina<br> 9.69%
2011,6,ARG,9.5,9.6744186047,Argentina,Argentina<br> 9.50%,Argentina<br> 9.67%
2011,7,ARG,9.5,9.6644295302,Argentina,Argentina<br> 9.50%,Argentina<br> 9.66%
2011,8,ARG,9.5,9.7684876749,Argentina,Argentina<br> 9.50%,Argentina<br> 9.77%
2011,9,ARG,9.5,9.8883836296,Argentina,Argentina<br> 9.50%,Argentina<br> 9.89%
2011,10,ARG,9.5,9.6581126507,Argentina,Argentina<br> 9.50%,Argentina<br> 9.66%
2011,11,ARG,9.5,9.5067556568,Argentina,Argentina<br> 9.50%,Argentina<br> 9.51%
2011,12,ARG,9.5,9.5084349019,Argentina,Argentina<br> 9.50%,Argentina<br> 9.51%
2012,1,ARG,9.5,9.712316692,Argentina,Argentina<br> 9.50%,Argentina<br> 9.71%
2012,2,ARG,9.5,9.7128311192,Argentina,Argentina<br> 9.50%,Argentina<br> 9.71%
2012,3,ARG,9.5,9.8130472509,Argentina,Argentina<br> 9.50%,Argentina<br> 9.81%
2012,4,ARG,9.5,9.8099037785,Argentina,Argentina<br> 9.50%,Argentina<br> 9.81%
2012,5,ARG,9.5,9.8936087598,Argentina,Argentina<br> 9.50%,Argentina<br> 9.89%
2012,6,ARG,9.5,9.9005320379,Argentina,Argentina<br> 9.50%,Argentina<br> 9.90%
2012,7,ARG,9.5,9.8990208078,Argentina,Argentina<br> 9.50%,Argentina<br> 9.90%
2012,8,ARG,9.5,9.9613079433,Argentina,Argentina<br> 9.50%,Argentina<br> 9.96%
2012,9,ARG,9.5,10.0142953879,Argentina,Argentina<br> 9.50%,Argentina<br> 10.01%
2012,10,ARG,9.5,10.2429906542,Argentina,Argentina<br> 9.50%,Argentina<br> 10.24%
2012,11,ARG,9.5,10.6213765423,Argentina,Argentina<br> 9.50%,Argentina<br> 10.62%
2012,12,ARG,9.5,10.8424854426,Argentina,Argentina<br> 9.50%,Argentina<br> 10.84%
2013,1,ARG,9.5,11.0875757797,Argentina,Argentina<br> 9.50%,Argentina<br> 11.09%
2013,2,ARG,9.5,10.8178654292,Argentina,Argentina<br> 9.50%,Argentina<br> 10.82%
2013,3,ARG,9.5,10.5883198046,Argentina,Argentina<br> 9.50%,Argentina<br> 10.59%
2013,4,ARG,9.5,10.472323146,Argentina,Argentina<br> 9.50%,Argentina<br> 10.47%
2013,5,ARG,9.5,10.3384919794,Argentina,Argentina<br> 9.50%,Argentina<br> 10.34%
2013,6,ARG,9.5,10.4609555883,Argentina,Argentina<br> 9.50%,Argentina<br> 10.46%
2013,7,ARG,9.5,10.6083808993,Argentina,Argentina<br> 9.50%,Argentina<br> 10.61%
2013,8,ARG,9.5,10.5491927694,Argentina,Argentina<br> 9.50%,Argentina<br> 10.55%
2013,9,ARG,9.5,10.4910408973,Argentina,Argentina<br> 9.50%,Argentina<br> 10.49%
2013,10,ARG,9.5,10.5459477789,Argentina,Argentina<br> 9.50%,Argentina<br> 10.55%
2013,11,ARG,9.5,10.5355103138,Argentina,Argentina<br> 9.50%,Argentina<br> 10.54%
2013,12,ARG,9.5,10.9456044687,Argentina,Argentina<br> 9.50%,Argentina<br> 10.95%
2014,1,ARG,25.5201,13.7024892149,Argentina,Argentina<br> 25.52%,Argentina<br> 13.70%
2014,2,ARG,28.7098,17.0098749648,Argentina,Argentina<br> 28.71%,Argentina<br> 17.01%
2014,3,ARG,28.6298,19.1746010787,Argentina,Argentina<br> 28.63%,Argentina<br> 19.17%
2014,4,ARG,27.7999,20.4303841628,Argentina,Argentina<br> 27.80%,Argentina<br> 20.43%
2014,5,ARG,26.7301,21.3217478219,Argentina,Argentina<br> 26.73%,Argentina<br> 21.32%
2014,6,ARG,26.8002,21.8834799414,Argentina,Argentina<br> 26.80%,Argentina<br> 21.88%
2014,7,ARG,26.7801,22.4848538621,Argentina,Argentina<br> 26.78%,Argentina<br> 22.48%
2014,8,ARG,26.8599,23.0840939374,Argentina,Argentina<br> 26.86%,Argentina<br> 23.08%
2014,9,ARG,26.8599,23.7524707869,Argentina,Argentina<br> 26.86%,Argentina<br> 23.75%
2014,10,ARG,26.8599,24.180551812,Argentina,Argentina<br> 26.86%,Argentina<br> 24.18%
2014,11,ARG,26.8599,24.4261956272,Argentina,Argentina<br> 26.86%,Argentina<br> 24.43%
2014,12,ARG,26.8599,23.912568306,Argentina,Argentina<br> 26.86%,Argentina<br> 23.91%
2015,1,ARG,26.56,20.8983551244,Argentina,Argentina<br> 26.56%,Argentina<br> 20.90%
2015,2,ARG,26.3301,17.9955138662,Argentina,Argentina<br> 26.33%,Argentina<br> 18.00%
2015,3,ARG,26.2199,16.5374677003,Argentina,Argentina<br> 26.22%,Argentina<br> 16.54%
2015,4,ARG,25.9701,15.7976957625,Argentina,Argentina<br> 25.97%,Argentina<br> 15.80%
2015,5,ARG,26.0401,15.3335258446,Argentina,Argentina<br> 26.04%,Argentina<br> 15.33%
2015,6,ARG,26.0401,14.9562903839,Argentina,Argentina<br> 26.04%,Argentina<br> 14.96%
2015,7,ARG,25.9237,14.8491661982,Argentina,Argentina<br> 25.92%,Argentina<br> 14.85%
2015,8,ARG,25.8188,14.6727071006,Argentina,Argentina<br> 25.82%,Argentina<br> 14.67%
2015,9,ARG,26.0367,14.4459644323,Argentina,Argentina<br> 26.04%,Argentina<br> 14.45%
2015,10,ARG,28.9307,14.2960093685,Argentina,Argentina<br> 28.93%,Argentina<br> 14.30%
2015,11,ARG,29.0366,15.2324959914,Argentina,Argentina<br> 29.04%,Argentina<br> 15.23%
2015,12,ARG,33.0009,18.5658846357,Argentina,Argentina<br> 33.00%,Argentina<br> 18.57%
2016,1,ARG,30.7503,22.0914006628,Argentina,Argentina<br> 30.75%,Argentina<br> 22.09%
2016,2,ARG,31.1461,24.2460900372,Argentina,Argentina<br> 31.15%,Argentina<br> 24.25%
2016,3,ARG,38.0008,26.2749445676,Argentina,Argentina<br> 38.00%,Argentina<br> 26.27%
2016,4,ARG,37.9997,29.089376054,Argentina,Argentina<br> 38.00%,Argentina<br> 29.09%
2016,5,ARG,35.2503,33.1330794494,Argentina,Argentina<br> 35.25%,Argentina<br> 33.13%
2016,6,ARG,30.7503,35.9123419996,Argentina,Argentina<br> 30.75%,Argentina<br> 35.91%
2016,7,ARG,30.2498,36.8726331065,Argentina,Argentina<br> 30.25%,Argentina<br> 36.87%
2016,8,ARG,28.2505,35.5567435521,Argentina,Argentina<br> 28.25%,Argentina<br> 35.56%
2016,9,ARG,26.7498,35.5192416474,Argentina,Argentina<br> 26.75%,Argentina<br> 35.52%
2016,10,ARG,26.7498,37.1969200858,Argentina,Argentina<br> 26.75%,Argentina<br> 37.20%
2016,11,ARG,24.7503,36.7445343578,Argentina,Argentina<br> 24.75%,Argentina<br> 36.74%
2016,12,ARG,24.7503,33.1630942241,Argentina,Argentina<br> 24.75%,Argentina<br> 33.16%
2017,1,ARG,24.75,29.5532280399,Argentina,Argentina<br> 24.75%,Argentina<br> 29.55%
2017,2,ARG,24.75,29.236238348,Argentina,Argentina<br> 24.75%,Argentina<br> 29.24%
2017,3,ARG,24.75,28.4676698211,Argentina,Argentina<br> 24.75%,Argentina<br> 28.47%
2017,4,ARG,26.25,27.5191931286,Argentina,Argentina<br> 26.25%,Argentina<br> 27.52%
2017,5,ARG,26.25,23.9574332468,Argentina,Argentina<br> 26.25%,Argentina<br> 23.96%
2017,6,ARG,26.25,21.928019614,Argentina,Argentina<br> 26.25%,Argentina<br> 21.93%
2017,7,ARG,26.25,21.5368579622,Argentina,Argentina<br> 26.25%,Argentina<br> 21.54%
2017,8,ARG,26.25,23.0840238879,Argentina,Argentina<br> 26.25%,Argentina<br> 23.08%
2017,9,ARG,26.25,24.1724858792,Argentina,Argentina<br> 26.25%,Argentina<br> 24.17%
2017,10,ARG,27.75,22.8867330023,Argentina,Argentina<br> 27.75%,Argentina<br> 22.89%
2017,11,ARG,28.75,22.3418939733,Argentina,Argentina<br> 28.75%,Argentina<br> 22.34%
2017,12,ARG,28.75,25.0392,Argentina,Argentina<br> 28.75%,Argentina<br> 25.04%
2018,1,ARG,27.25,25.3686101487,Argentina,Argentina<br> 27.25%,Argentina<br> 25.37%
2018,2,ARG,27.25,25.5112057298,Argentina,Argentina<br> 27.25%,Argentina<br> 25.51%
2018,3,ARG,27.25,25.6346770786,Argentina,Argentina<br> 27.25%,Argentina<br> 25.63%
2018,4,ARG,30.25,25.5605792339,Argentina,Argentina<br> 30.25%,Argentina<br> 25.56%
2018,5,ARG,40.0,26.361683386,Argentina,Argentina<br> 40.00%,Argentina<br> 26.36%
2018,6,ARG,40.0,29.5228417875,Argentina,Argentina<br> 40.00%,Argentina<br> 29.52%
2018,7,ARG,40.0,30.8970601273,Argentina,Argentina<br> 40.00%,Argentina<br> 30.90%
2018,8,ARG,60.0,34.2305699415,Argentina,Argentina<br> 60.00%,Argentina<br> 34.23%
2018,9,ARG,65.0,40.2869141512,Argentina,Argentina<br> 65.00%,Argentina<br> 40.29%
2018,10,ARG,68.048,45.4870981644,Argentina,Argentina<br> 68.05%,Argentina<br> 45.49%
2018,11,ARG,60.753,47.961728488,Argentina,Argentina<br> 60.75%,Argentina<br> 47.96%
2018,12,ARG,59.252,47.1043480764,Argentina,Argentina<br> 59.25%,Argentina<br> 47.10%
2019,1,ARG,53.687,48.898985708,Argentina,Argentina<br> 53.69%,Argentina<br> 48.90%
2019,2,ARG,50.127,50.7082207331,Argentina,Argentina<br> 50.13%,Argentina<br> 50.71%
2019,3,ARG,68.155,54.1300257373,Argentina,Argentina<br> 68.16%,Argentina<br> 54.13%
2019,4,ARG,73.93,55.1409396953,Argentina,Argentina<br> 73.93%,Argentina<br> 55.14%
2019,5,ARG,70.73,56.8127955294,Argentina,Argentina<br> 70.73%,Argentina<br> 56.81%
2019,6,ARG,62.688,54.8416428716,Argentina,Argentina<br> 62.69%,Argentina<br> 54.84%
2019,7,ARG,60.396,53.8572859846,Argentina,Argentina<br> 60.40%,Argentina<br> 53.86%
2019,8,ARG,83.264,53.5732951312,Argentina,Argentina<br> 83.26%,Argentina<br> 53.57%
2019,9,ARG,78.372,52.3643379703,Argentina,Argentina<br> 78.37%,Argentina<br> 52.36%
2019,10,ARG,68.002,49.6708462057,Argentina,Argentina<br> 68.00%,Argentina<br> 49.67%
2019,11,ARG,63.002,51.3900054227,Argentina,Argentina<br> 63.00%,Argentina<br> 51.39%
2019,12,ARG,55.0,52.8652845713,Argentina,Argentina<br> 55.00%,Argentina<br> 52.87%
2020,1,ARG,50.0,51.4836329258,Argentina,Argentina<br> 50.00%,Argentina<br> 51.48%
2020,2,ARG,40.0,48.5727468518,Argentina,Argentina<br> 40.00%,Argentina<br> 48.57%
2020,3,ARG,38.0,46.8778171911,Argentina,Argentina<br> 38.00%,Argentina<br> 46.88%
2020,4,ARG,38.0,44.247009488,Argentina,Argentina<br> 38.00%,Argentina<br> 44.25%
2020,5,ARG,38.0,42.1295663866,Argentina,Argentina<br> 38.00%,Argentina<br> 42.13%
2020,6,ARG,38.0,41.3407209369,Argentina,Argentina<br> 38.00%,Argentina<br> 41.34%
2020,7,ARG,38.0,40.6446711526,Argentina,Argentina<br> 38.00%,Argentina<br> 40.64%
2020,8,ARG,38.0,39.1884582444,Argentina,Argentina<br> 38.00%,Argentina<br> 39.19%
2020,9,ARG,38.0,35.1990615043,Argentina,Argentina<br> 38.00%,Argentina<br> 35.20%
2020,10,ARG,36.0,35.6766705059,Argentina,Argentina<br> 36.00%,Argentina<br> 35.68%
2020,11,ARG,38.0,34.2450329928,Argentina,Argentina<br> 38.00%,Argentina<br> 34.25%
2020,12,ARG,38.0,34.0970383477,Argentina,Argentina<br> 38.00%,Argentina<br> 34.10%
2021,1,ARG,38.0,35.9362046945,Argentina,Argentina<br> 38.00%,Argentina<br> 35.94%
2021,2,ARG,38.0,38.3045002862,Argentina,Argentina<br> 38.00%,Argentina<br> 38.30%
2021,3,ARG,38.0,40.4418990469,Argentina,Argentina<br> 38.00%,Argentina<br> 40.44%
2021,4,ARG,38.0,44.1990378149,Argentina,Argentina<br> 38.00%,Argentina<br> 44.20%
2021,5,ARG,38.0,46.8328681979,Argentina,Argentina<br> 38.00%,Argentina<br> 46.83%
2021,6,ARG,38.0,48.2942588201,Argentina,Argentina<br> 38.00%,Argentina<br> 48.29%
2021,7,ARG,38.0,50.3982129614,Argentina,Argentina<br> 38.00%,Argentina<br> 50.40%
2021,8,ARG,38.0,50.1186479053,Argentina,Argentina<br> 38.00%,Argentina<br> 50.12%
